MATERIAL,source,Banner,SRC_BAN_POS,Plan_Banner,Plan_Region,CL4Key,CL6Key,pos_date,Pos_Qty_EA,Pos_Sales,POS_QTY_CS,UBP,UNIT,FACTOR_EACH,PER_SALES_UOM_CASE,Complete_PPG,Total_Sales,Baseline_Qty,Baseline_Nps,ForecastDate,Incr_Sales,PromoId,InStoreStart,InStoreEnd,PromoDuration,MATERIALDESC,SUB_CATEGORY,SUB_CATEGORY_DESC,CATEGORY,CATEGORY_DESC,FGroup_Desc
12366119,Company A,Company A Super,2022-05-27,Company A Sup,QUEBEC,292279,292698,2022-05-27,16,71.84,1.06667,63.0,EA,1,15,Best Bundle,67.2,2,126.0,2022-05-23,-58.8,866561,2022-05-27,2022-05-27,1,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-27,Company A Sup,QUEBEC,292279,292698,2022-05-27,16,71.84,1.06667,63.0,EA,1,15,Best Bundle,67.2,2,126.0,2022-05-23,-58.8,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-06-01,Company A Sup,QUEBEC,292279,292698,2022-06-01,7,31.43,0.466667,63.0,EA,1,15,Best Bundle,29.4,2,126.0,2022-05-30,-96.6,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-30,Company A Sup,QUEBEC,292279,292698,2022-05-30,8,35.92,0.533333,63.0,EA,1,15,Best Bundle,33.6,2,126.0,2022-05-30,-92.4,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-31,Company A Sup,QUEBEC,292279,292698,2022-05-31,1,4.49,0.0666667,63.0,EA,1,15,Best Bundle,4.2,2,126.0,2022-05-30,-121.8,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
11005258,Company A,Company A ONTARIO,2022-08-07,Company A,ONTARIO,292278,292696,2022-08-07,113,337.87,9.41667,35.16,EA,1,12,Superbundle,331.09,12,421.92,2022-08-01,-90.83,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-06,Company A,ONTARIO,292278,292696,2022-08-06,139,415.61,11.5833,35.16,EA,1,12,Superbundle,407.27,12,421.92,2022-08-01,-14.65,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-01,Company A,ONTARIO,292278,292696,2022-08-01,95,284.05,7.91667,35.16,EA,1,12,Superbundle,278.35,12,421.92,2022-08-01,-143.57,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-05,Company A,ONTARIO,292278,292696,2022-08-05,153,457.47,12.75,35.16,EA,1,12,Superbundle,448.29,12,421.92,2022-08-01,26.37,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-04,Company A,ONTARIO,292278,292696,2022-08-04,175,523.25,14.5833,35.16,EA,1,12,Superbundle,512.75,12,421.92,2022-08-01,90.83,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-02,Company A,ONTARIO,292278,292696,2022-08-02,198,592.02,16.5,35.16,EA,1,12,Superbundle,580.14,12,421.92,2022-08-01,158.22,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-03,Company A,ONTARIO,292278,292696,2022-08-03,174,520.26,14.5,35.16,EA,1,12,Superbundle,509.82,12,421.92,2022-08-01,87.9,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-13,Company A,ONTARIO,292278,292696,2022-08-13,187,559.13,15.5833,35.16,EA,1,12,Superbundle,547.91,13,457.08,2022-08-08,90.83,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-10,Company A,ONTARIO,292278,292696,2022-08-10,156,466.44,13.0,35.16,EA,1,12,Superbundle,457.08,13,457.08,2022-08-08,0.0,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-14,Company A,ONTARIO,292278,292696,2022-08-14,174,520.26,14.5,35.16,EA,1,12,Superbundle,509.82,13,457.08,2022-08-08,52.74,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-08-09,Company A,ONTARIO,292278,292696,2022-08-09,174,520.26,14.5,35.16,EA,1,12,Superbundle,509.82,13,457.08,2022-08-08,52.74,1409719,2022-07-21,2022-09-07,49,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
